sex,amp,peak,n170,de
f,3.97697645261055,1.39665045101618,3.51866240625932,-4.64168677790694
f,2.8382955852931,-2.90356773181226,-1.9972288600147,-4.70193041601046
f,-1.42845081393471,-2.60608327897144,0.109956963033861,-4.65284327845291
f,-3.36333674795336,3.90690213367788,7.46306517901857,-4.68153104286157
f,0.229698462699676,0.727407947781687,2.95503762358838,-4.73321483764343
f,3.60987430611985,3.13752665662153,7.08990736272438,-4.60135128869478
f,3.72983298819916,0.650750406035702,3.98266819637631,-4.60793631780578
f,3.05072260590423,0.406744365171432,2.88500978486195,-4.67375916444289
f,-5.62469239079661,0.0196965589459451,0.94041975153355,-4.67762546733997
f,-2.76584484648515,4.75507969588832,6.51636928673699,-4.69834102190089
f,-2.48402317743578,-1.21689290880513,4.04800289747055,-4.64729189377708
f,7.8087973525023,2.47789811735406,5.69719498390465,-4.63128509837943
f,2.08738004032462,-7.25667364039719,-2.54788640211945,-4.60622846088959
f,-2.53190339000247,-2.28632025415189,5.59510307590128,-4.69031247787721
f,-9.0514897549111,-8.34178969839556,-4.55231615716451,-4.53455087907791
f,2.52733913944472,-6.12875669034057,-2.97822178335747,-4.60360530686929
f,-0.113790588672338,0.637390966967803,2.23770166861699,-4.67947334176836
f,-4.56134898044446,5.48044712742344,7.92595146679589,-4.64930206403644
f,0.800307846171189,1.49553792130418,4.31986083164577,-4.64829031658602
f,3.15085710285202,2.26029065096184,1.23202471606895,-4.58555474244698
f,5.42218905853451,-3.69356433369711,-2.44471473461605,-4.60273715672332
f,1.02998587237239,0.798227242814314,-0.37110143436746,-4.70439567323996
f,-0.239758072293576,0.756682759617264,4.8804344345192,-4.65457241788173
f,3.85085561333031,0.223680427971952,5.06284678377906,-4.62695561713307
f,-0.403241678650902,-8.82595024056152,-1.77073145716157,-4.64624734658331
f,-0.304742847511934,-5.17056458687526,-1.61174617755189,-4.67780966546102
f,9.29340122091386,-6.98979674916679,-6.04941779356241,-4.60729373584644
f,-0.502271849713215,2.54460045738719,10.2670244288046,-4.60230065503243
f,4.10159454055064,-10.4014025743102,-3.89255220871615,-4.651332146231
f,3.79518300233596,-6.38437312635143,-2.39430979147308,-4.6576835659971
f,-4.14161941530774,-7.37720196765776,-2.26978169305536,-4.62750098259008
f,1.37824139530098,4.23427882471913,6.48176134278278,-4.71077488801504
f,1.38121611232523,0.203650424314914,1.3246080021864,-4.63140704319749
f,11.9855429163769,-2.05438987901683,1.78830000175656,-4.55478936322127
f,5.80104557209047,-10.1481461847211,-8.43400816508816,-4.68257332580996
f,1.8820024536452,2.28522778547107,3.74658532537379,-4.6266243127475
f,-0.314755935582903,-2.95575020360992,0.838487173530512,-4.68931919271414
f,-7.76293846292438,-5.03669085590085,-3.33637092072788,-4.62560949178189
f,-4.99795059953148,3.19066347314903,1.7102023184911,-4.64569753798595
f,4.96344973486067,-5.74005183719707,-3.11714449373022,-4.61376650535188
f,-3.48354434076083,-2.68655684583815,0.82167625187348,-4.66642165578152
f,-7.6405917739626,-4.96256333401253,-1.34239301296799,-4.59283570368113
f,-3.83413045706147,2.64532593528687,3.35266665474248,-4.70041283475526
f,-9.08162188731214,-7.59980414100373,-4.88029904642436,-4.56599365460275
f,-6.55715318083399,1.17512031074503,5.01891891182127,-4.62510966619293
f,5.46002039350893,-4.19426630963647,-2.32305942671005,-4.66528905008919
f,-2.92835237532608,-2.40997173691567,-0.0939598964574864,-4.71001446225984
f,11.0140115528935,-0.419349327789949,-0.484373313076069,-4.54377424801227
f,-0.0810062620917664,-2.92403553600541,-0.592262201114138,-4.68998512157494
f,1.20218103601668,-7.15388289269404,-3.66309373165653,-4.61691564845301
f,-0.818914791954317,-5.98672891709089,-3.27003024715026,-4.69760073897632
